Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
2998,251.749093,-1.892382,251.749060,-1.892361,1209,1118,1209.579,1118.365,1,+280.704,1.0000,+22.1301,D.N.,-6.1206,+0.0856,0,B,8.917706,9.300240,8.926500,8.503835,9.046817,0.000000,1.471980,1.459504,5,5,5,0,8,15,79.04,0,514,3.32,/Users/spicyboiii/Desktop/M12_V.fits
2999,251.795010,-1.892270,251.795005,-1.892258,381,1120,381.094,1120.227,1,+1281.78,1.0000,+172.667,D.N.,-7.7695,+0.1463,0,B,12.408151,9.436076,63.497174,9.782717,209.335050,0.000000,199.670669,17.018677,5,5,5,0,8,15,79.04,0,504,3.77,/Users/spicyboiii/Desktop/M12_V.fits
3000,251.813643,-1.892214,251.813612,-1.892210,45,1121,45.551,1121.073,1,+743.601,1.0000,+31.1742,D.N.,-7.1783,+0.0455,0,B,9.732855,8.727710,9.773567,9.684528,9.915250,0.000000,1.671841,1.523887,5,5,5,0,8,15,79.04,0,510,3.41,/Users/spicyboiii/Desktop/M12_V.fits
3001,251.807820,-1.892104,251.807800,-1.892081,150,1123,150.362,1123.415,1,+6903.40,1.0000,+86.4182,D.N.,-9.5977,+0.0136,0,B,10.750982,9.401532,11.377215,9.226645,11.883280,0.000000,3.434355,2.393777,5,5,5,0,8,15,79.04,0,503,3.22,/Users/spicyboiii/Desktop/M12_V.fits
3002,251.795620,-1.892215,251.795614,-1.892188,370,1121,370.106,1121.488,1,+505.593,1.0000,+38.8228,D.N.,-6.7595,+0.0834,0,B,10.997493,11.613131,12.514242,9.709665,13.661357,0.000000,5.485094,3.188038,5,5,5,0,8,15,79.04,0,503,0.26,/Users/spicyboiii/Desktop/M12_V.fits
3003,251.792348,-1.892215,251.792358,-1.892182,429,1121,428.824,1121.589,1,+652.128,1.0000,+31.5494,D.N.,-7.0358,+0.0525,0,B,10.272974,10.667087,10.542122,9.927352,10.738017,0.000000,2.043754,1.867344,5,5,5,0,8,15,79.04,0,506,3.48,/Users/spicyboiii/Desktop/M12_V.fits
3004,251.740885,-1.892160,251.740877,-1.892145,1357,1122,1357.147,1122.263,1,+342.596,1.0000,+23.5908,D.N.,-6.3370,+0.0748,0,B,8.881944,8.328401,8.690099,8.643647,8.817769,0.000000,1.496526,1.476496,5,5,5,0,8,15,79.04,0,514,3.35,/Users/spicyboiii/Desktop/M12_V.fits
3005,251.772661,-1.892049,251.772591,-1.892019,784,1124,785.261,1124.541,1,+2045.60,1.0000,+47.9258,D.N.,-8.2771,+0.0254,0,B,8.989955,8.589799,9.056613,8.993913,9.201507,0.000000,1.628087,1.599282,5,5,5,0,8,15,79.04,0,511,3.70,/Users/spicyboiii/Desktop/M12_V.fits
3006,251.772439,-1.891994,251.772591,-1.892019,788,1125,785.268,1124.541,1,+2045.60,1.0000,+47.9258,D.N.,-8.2771,+0.0254,0,B,8.989955,8.589799,9.056613,8.965141,9.201507,0.000000,1.628087,1.599282,5,5,5,0,8,15,79.04,0,511,3.71,/Users/spicyboiii/Desktop/M12_V.fits
3007,251.799335,-1.891993,251.799305,-1.892024,303,1125,303.548,1124.434,1,+1531.52,1.0000,+45.6766,D.N.,-7.9628,+0.0324,0,B,9.994450,8.915311,13.079752,9.365387,18.446328,0.000000,13.020170,2.372286,5,5,5,0,8,15,79.04,0,502,3.35,/Users/spicyboiii/Desktop/M12_V.fits
