Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
2808,251.805821,-1.897868,251.805874,-1.898041,186,1019,185.052,1015.886,1,+211.900,1.0000,+20.5856,D.N.,-5.8153,+0.1055,0,B,5.854952,5.523124,5.940251,5.691747,6.172846,0.000000,1.680184,1.467099,5,5,5,0,8,15,79.04,0,506,0.28,C:\Users\lrf44\Desktop\M12_B.fits
2809,251.767614,-1.897980,251.767572,-1.897926,875,1017,875.761,1017.972,1,+542.778,1.0000,+29.5084,D.N.,-6.8366,+0.0590,0,B,6.165958,6.232714,6.668574,5.740870,7.226424,0.000000,2.786915,1.822817,5,5,5,0,8,15,79.04,0,499,4.75,C:\Users\lrf44\Desktop\M12_B.fits
2810,251.814416,-1.897923,251.814430,-1.897951,31,1018,30.757,1017.506,1,+265.154,1.0000,+23.6305,D.N.,-6.0587,+0.0968,0,B,6.084363,6.091209,6.551612,5.897934,7.275323,0.000000,3.166487,1.724993,5,5,5,0,8,15,79.04,0,503,4.19,C:\Users\lrf44\Desktop\M12_B.fits
2811,251.740221,-1.897979,251.740193,-1.897918,1369,1017,1369.503,1018.100,1,+224.722,1.0000,+21.0067,D.N.,-5.8791,+0.1015,0,B,5.045835,4.832071,5.008240,4.898389,5.208131,0.000000,1.430436,1.485540,5,5,5,0,8,15,79.04,0,514,0.26,C:\Users\lrf44\Desktop\M12_B.fits
2812,251.728354,-1.897979,251.728340,-1.897904,1583,1017,1583.257,1018.363,1,+169.032,1.0000,+19.3039,D.N.,-5.5699,+0.1240,0,B,4.890088,4.877096,4.983733,5.141220,5.178156,0.000000,1.406970,1.440157,5,5,5,0,8,15,79.04,0,513,3.03,C:\Users\lrf44\Desktop\M12_B.fits
2813,251.810424,-1.897868,251.810387,-1.897854,103,1019,103.670,1019.256,1,+331.455,1.0000,+24.4306,D.N.,-6.3011,+0.0800,0,B,6.036273,6.039642,6.240207,5.886169,6.571241,0.000000,2.061413,1.642017,5,5,5,0,8,15,79.04,0,506,3.20,C:\Users\lrf44\Desktop\M12_B.fits
2814,251.750036,-1.897592,251.750020,-1.897542,1192,1024,1192.282,1024.888,1,+23988.8,1.0000,+159.728,D.N.,-10.9500,+0.0072,0,B,8.719522,7.010881,9.829192,5.071414,10.543259,0.000000,3.817829,3.939092,5,5,5,0,8,15,79.04,0,511,4.26,C:\Users\lrf44\Desktop\M12_B.fits
2815,251.779925,-1.897758,251.779870,-1.897760,653,1021,653.991,1020.965,1,+853.738,1.0000,+32.8133,D.N.,-7.3283,+0.0417,0,B,5.689533,5.883075,5.719596,5.742873,5.911016,0.000000,1.493545,1.507372,5,5,5,0,8,15,79.04,0,514,4.68,C:\Users\lrf44\Desktop\M12_B.fits
2816,251.808982,-1.897702,251.808959,-1.897676,129,1022,129.413,1022.470,1,+3270.08,1.0000,+60.5152,D.N.,-8.7864,+0.0201,0,B,6.980387,6.034957,7.461726,5.876801,7.925196,0.000000,2.673133,1.993669,5,5,5,0,8,15,79.04,0,501,3.89,C:\Users\lrf44\Desktop\M12_B.fits
2817,251.789518,-1.897702,251.789457,-1.897710,480,1022,481.098,1021.866,1,+344.925,1.0000,+23.6282,D.N.,-6.3443,+0.0744,0,B,5.857079,6.263636,5.785928,5.908261,5.981236,0.000000,1.517473,1.473985,5,5,5,0,8,15,79.04,0,512,4.68,C:\Users\lrf44\Desktop\M12_B.fits
2818,251.789185,-1.897591,251.789456,-1.897710,486,1024,481.118,1021.861,1,+344.938,1.0000,+23.6285,D.N.,-6.3444,+0.0744,0,B,5.857079,6.263636,5.785928,5.916031,5.981236,0.000000,1.517473,1.473985,5,5,5,0,8,15,79.04,0,512,2.78,C:\Users\lrf44\Desktop\M12_B.fits
2819,251.750812,-1.897869,251.750021,-1.897543,1178,1019,1192.268,1024.875,1,+23985.9,1.0000,+159.719,D.N.,-10.9499,+0.0072,0,B,8.719522,7.010881,9.829192,4.999712,10.543259,0.000000,3.817829,3.939092,5,5,5,0,8,15,79.04,0,511,12.95,C:\Users\lrf44\Desktop\M12_B.fits
