Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,7.00e+09,0.0900000036,0.090,-3.424,3.3624,5.217,1,0.000,0.545,0.00,0.00,-1,3.9e-17,0.00,7.084e-01,2.763e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,13.329,25.079,21.119,18.671,16.380,13.893,11.227,10.624,10.287
0.01520,7.00e+09,0.1000000015,0.100,-3.241,3.3882,5.184,1,0.000,0.545,0.00,0.00,-1,5.84e-17,0.00,7.081e-01,2.766e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.873,23.093,19.791,17.581,15.519,13.138,10.759,10.205,9.892
0.01520,7.00e+09,0.1129965112,0.113,-3.064,3.4116,5.153,1,0.000,0.545,0.00,0.00,-1,8.57e-17,0.00,7.077e-01,2.770e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.429,21.349,18.599,16.539,14.694,12.463,10.344,9.813,9.503
0.01520,7.00e+09,0.1200000122,0.120,-2.976,3.4230,5.138,1,0.000,0.545,0.00,0.00,-1,1.03e-16,0.00,7.075e-01,2.772e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.211,20.522,18.018,16.029,14.288,12.145,10.148,9.622,9.316
0.01520,7.00e+09,0.1400000006,0.140,-2.793,3.4433,5.102,1,0.000,0.545,0.00,0.00,-1,1.52e-16,0.00,7.070e-01,2.778e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.752,19.224,16.983,15.078,13.493,11.516,9.741,9.211,8.917
0.01520,7.00e+09,0.1533901095,0.153,-2.696,3.4526,5.082,1,0.000,0.545,0.00,0.00,-1,1.86e-16,0.00,7.066e-01,2.781e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.510,18.601,16.484,14.622,13.110,11.215,9.525,8.993,8.702
0.01520,7.00e+09,0.1599999964,0.160,-2.651,3.4569,5.073,1,0.000,0.545,0.00,0.00,-1,2.04e-16,0.00,7.065e-01,2.783e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.399,18.314,16.254,14.413,12.933,11.077,9.426,8.893,8.603
0.01520,7.00e+09,0.2000000030,0.200,-2.434,3.4756,5.027,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.056e-01,2.791e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.854,17.038,15.227,13.480,12.135,10.445,8.933,8.399,8.115
0.01520,7.00e+09,0.2500000000,0.250,-2.224,3.4920,4.980,1,0.000,0.545,0.00,0.00,-1,4.85e-16,0.00,7.049e-01,2.798e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.331,15.980,14.333,12.659,11.411,9.857,8.452,7.914,7.640
0.01520,7.00e+09,0.3000000119,0.300,-2.061,3.5027,4.938,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.046e-01,2.801e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.921,15.276,13.706,12.074,10.880,9.409,8.068,7.527,7.261
0.01520,7.00e+09,0.3500000238,0.350,-1.909,3.5113,4.889,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.090e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.543,14.679,13.164,11.564,10.409,9.003,7.709,7.165,6.905
0.01520,7.00e+09,0.4000000358,0.400,-1.765,3.5224,4.847,1,0.000,0.545,0.00,0.00,-1,1.29e-15,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.183,14.069,12.609,11.047,9.939,8.610,7.373,6.822,6.571
0.01520,7.00e+09,0.4500000477,0.450,-1.616,3.5347,4.797,1,0.000,0.545,0.00,0.00,-1,1.81e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.809,13.439,12.033,10.509,9.446,8.207,7.030,6.469,6.226
0.01520,7.00e+09,0.5000000000,0.500,-1.459,3.5497,4.747,1,0.000,0.545,0.00,0.00,-1,2.62e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.417,12.776,11.417,9.933,8.918,7.784,6.676,6.102,5.868
0.01520,7.00e+09,0.5500000119,0.550,-1.287,3.5694,4.695,1,0.000,0.545,0.00,0.00,-1,3.93e-15,0.00,7.253e-01,2.602e-01,2.603e-03,7.023e-04,6.371e-03,-1.000,1.448e-02,7.987,12.084,10.743,9.302,8.338,7.325,6.296,5.702,5.486
0.01520,7.00e+09,0.6000000238,0.600,-1.117,3.5937,4.660,1,0.000,0.545,0.00,0.00,-1,5.8e-15,0.00,7.278e-01,2.579e-01,2.582e-03,6.970e-04,6.323e-03,-1.000,1.437e-02,7.562,11.060,9.944,8.648,7.753,6.890,5.913,5.262,5.115
0.01520,7.00e+09,0.6499999762,0.650,-0.944,3.6232,4.640,1,0.000,0.544,0.00,0.00,-1,8.49e-15,0.00,7.300e-01,2.557e-01,2.564e-03,6.921e-04,6.280e-03,-1.000,1.429e-02,7.130,10.163,9.117,7.908,7.119,6.466,5.591,4.889,4.783
0.01520,7.00e+09,0.6587404013,0.659,-0.914,3.6286,4.637,1,0.000,0.544,0.00,0.00,-1,9.06e-15,0.00,7.304e-01,2.554e-01,2.561e-03,6.913e-04,6.272e-03,-1.000,1.427e-02,7.055,10.009,8.980,7.788,7.017,6.390,5.532,4.833,4.732
0.01520,7.00e+09,0.7000000477,0.700,-0.777,3.6533,4.625,1,0.000,0.544,0.00,0.00,-1,1.22e-14,0.00,7.322e-01,2.537e-01,2.547e-03,6.875e-04,6.239e-03,-1.000,1.417e-02,6.712,9.253,8.348,7.253,6.568,6.030,5.255,4.605,4.524
0.01520,7.00e+09,0.7260568142,0.726,-0.691,3.6688,4.618,1,0.000,0.540,0.00,0.00,-1,1.47e-14,0.00,7.334e-01,2.525e-01,2.519e-03,6.844e-04,6.215e-03,-1.000,1.413e-02,6.498,8.767,7.968,6.934,6.304,5.804,5.085,4.485,4.412
0.01520,7.00e+09,0.7500000000,0.750,-0.615,3.6825,4.610,1,0.000,0.537,0.00,0.00,-1,1.74e-14,0.00,7.344e-01,2.515e-01,2.494e-03,6.816e-04,6.194e-03,-1.000,1.403e-02,6.307,8.335,7.637,6.655,6.072,5.604,4.934,4.378,4.312
0.01520,7.00e+09,0.7561596036,0.756,-0.596,3.6853,4.606,1,0.000,0.537,0.00,0.00,-1,1.82e-14,0.00,7.348e-01,2.511e-01,2.491e-03,6.807e-04,6.186e-03,-1.000,1.401e-02,6.259,8.239,7.564,6.593,6.019,5.556,4.896,4.349,4.284
0.01520,7.00e+09,0.7866051793,0.787,-0.503,3.6991,4.585,1,0.000,0.537,0.00,0.00,-1,2.26e-14,0.00,7.368e-01,2.492e-01,2.474e-03,6.763e-04,6.147e-03,-1.000,1.395e-02,6.028,7.775,7.208,6.288,5.758,5.323,4.710,4.205,4.147
0.01520,7.00e+09,0.8000000119,0.800,-0.463,3.7050,4.576,1,0.000,0.537,0.00,0.00,-1,2.49e-14,0.00,7.377e-01,2.484e-01,2.467e-03,6.743e-04,6.130e-03,-1.000,1.390e-02,5.928,7.578,7.058,6.162,5.647,5.224,4.631,4.143,4.088
0.01520,7.00e+09,0.8007806540,0.801,-0.461,3.7053,4.575,1,0.000,0.537,0.00,0.00,-1,2.5e-14,0.00,7.378e-01,2.483e-01,2.467e-03,6.742e-04,6.128e-03,-1.000,1.390e-02,5.922,7.567,7.050,6.155,5.641,5.218,4.626,4.139,4.084
0.01520,7.00e+09,0.8273613453,0.827,-0.381,3.7165,4.554,1,0.000,0.537,0.00,0.00,-1,3.03e-14,0.00,7.398e-01,2.464e-01,2.450e-03,6.697e-04,6.088e-03,-1.000,1.383e-02,5.722,7.191,6.761,5.909,5.425,5.023,4.467,4.012,3.962
0.01520,7.00e+09,0.8500000238,0.850,-0.313,3.7256,4.535,1,0.000,0.536,0.00,0.00,-1,3.57e-14,0.00,7.415e-01,2.447e-01,2.435e-03,6.659e-04,6.054e-03,-1.000,1.380e-02,5.553,6.880,6.522,5.706,5.246,4.859,4.332,3.903,3.857
0.01520,7.00e+09,0.8705770373,0.870,-0.252,3.7333,4.515,1,0.000,0.536,0.00,0.00,-1,4.16e-14,0.00,7.435e-01,2.428e-01,2.420e-03,6.616e-04,6.015e-03,-1.000,1.367e-02,5.399,6.612,6.312,5.529,5.087,4.712,4.209,3.801,3.757
0.01520,7.00e+09,0.8926705122,0.892,-0.185,3.7413,4.491,1,0.000,0.536,0.00,0.00,-1,4.91e-14,0.00,7.456e-01,2.408e-01,2.402e-03,6.569e-04,5.973e-03,-1.000,1.356e-02,5.234,6.335,6.091,5.342,4.918,4.556,4.077,3.688,3.647
0.01520,7.00e+09,0.9000000358,0.899,-0.163,3.7438,4.483,1,0.000,0.536,0.00,0.00,-1,5.2e-14,0.00,7.463e-01,2.401e-01,2.397e-03,6.553e-04,5.959e-03,-1.000,1.353e-02,5.179,6.246,6.019,5.281,4.862,4.505,4.033,3.650,3.610
0.01520,7.00e+09,0.9062660933,0.906,-0.144,3.7459,4.475,1,0.000,0.536,0.00,0.00,-1,5.46e-14,0.00,7.471e-01,2.394e-01,2.390e-03,6.537e-04,5.944e-03,-1.000,1.351e-02,5.131,6.172,5.958,5.229,4.814,4.460,3.994,3.616,3.577
0.01520,7.00e+09,0.9198384285,0.919,-0.103,3.7502,4.457,1,0.000,0.536,0.00,0.00,-1,6.08e-14,0.00,7.487e-01,2.378e-01,2.377e-03,6.500e-04,5.912e-03,-1.000,1.346e-02,5.028,6.012,5.827,5.116,4.711,4.363,3.910,3.542,3.504
0.01520,7.00e+09,0.9323408008,0.932,-0.065,3.7540,4.441,1,0.000,0.536,0.00,0.00,-1,6.73e-14,0.00,7.503e-01,2.363e-01,2.364e-03,6.466e-04,5.881e-03,-1.000,1.339e-02,4.933,5.869,5.707,5.013,4.616,4.274,3.831,3.473,3.436
0.01520,7.00e+09,0.9444336295,0.944,-0.028,3.7575,4.423,1,0.000,0.536,0.00,0.00,-1,7.42e-14,0.00,7.518e-01,2.349e-01,2.351e-03,6.433e-04,5.851e-03,-1.000,1.328e-02,4.841,5.734,5.592,4.914,4.524,4.188,3.755,3.404,3.369
0.01520,7.00e+09,0.9500000477,0.949,-0.011,3.7591,4.415,1,0.000,0.536,0.00,0.00,-1,7.77e-14,0.00,7.525e-01,2.342e-01,2.346e-03,6.417e-04,5.837e-03,-1.000,1.327e-02,4.798,5.673,5.539,4.868,4.481,4.148,3.719,3.372,3.337
0.01520,7.00e+09,0.9662374854,0.966,0.040,3.7633,4.389,1,0.000,0.536,0.00,0.00,-1,8.93e-14,0.00,7.552e-01,2.317e-01,2.324e-03,6.359e-04,5.785e-03,-1.000,1.318e-02,4.671,5.497,5.387,4.733,4.355,4.029,3.611,3.274,3.240
0.01520,7.00e+09,0.9768248200,0.976,0.073,3.7658,4.370,1,0.000,0.536,0.00,0.00,-1,9.8e-14,0.00,7.569e-01,2.300e-01,2.310e-03,6.320e-04,5.750e-03,-1.000,1.307e-02,4.588,5.383,5.287,4.645,4.272,3.950,3.539,3.207,3.175
0.01520,7.00e+09,0.9958287477,0.996,0.133,3.7700,4.335,1,0.000,0.535,0.00,0.00,-1,1.16e-13,0.00,7.602e-01,2.269e-01,2.283e-03,6.249e-04,5.686e-03,-1.000,1.293e-02,4.438,5.191,5.113,4.488,4.124,3.808,3.408,3.086,3.054
0.01520,7.00e+09,1.0000000000,1.000,0.146,3.7707,4.327,1,0.000,0.535,0.00,0.00,-1,1.2e-13,0.00,7.609e-01,2.262e-01,2.277e-03,6.233e-04,5.672e-03,-1.000,1.290e-02,4.405,5.150,5.075,4.455,4.091,3.777,3.379,3.059,3.027
0.01520,7.00e+09,1.0055011511,1.005,0.163,3.7716,4.316,1,0.000,0.535,0.00,0.00,-1,1.25e-13,0.00,7.621e-01,2.251e-01,2.267e-03,6.206e-04,5.648e-03,-1.000,1.286e-02,4.363,5.098,5.027,4.410,4.049,3.736,3.341,3.023,2.991
