Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,3.00e+09,0.0900000036,0.090,-3.424,3.3622,5.217,1,0.000,0.545,0.00,0.00,-1,3.89e-17,0.00,7.089e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,13.330,25.089,21.126,18.676,16.383,13.896,11.228,10.625,10.288
0.01520,3.00e+09,0.1000000015,0.100,-3.242,3.3881,5.184,0,0.000,0.545,0.00,0.00,-1,5.84e-17,0.00,7.088e-01,2.760e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.874,23.103,19.797,17.587,15.523,13.141,10.760,10.206,9.893
0.01520,3.00e+09,0.1167739853,0.117,-3.017,3.4176,5.145,1,0.000,0.545,0.00,0.00,-1,9.48e-17,0.00,7.085e-01,2.762e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.312,20.900,18.288,16.267,14.478,12.291,10.237,9.710,9.403
0.01520,3.00e+09,0.1200000122,0.120,-2.977,3.4228,5.138,1,0.000,0.545,0.00,0.00,-1,1.03e-16,0.00,7.085e-01,2.762e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.214,20.537,18.028,16.038,14.295,12.150,10.150,9.625,9.318
0.01520,3.00e+09,0.1400000006,0.140,-2.794,3.4431,5.102,1,0.000,0.545,0.00,0.00,-1,1.52e-16,0.00,7.083e-01,2.764e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.755,19.235,16.992,15.086,13.500,11.521,9.743,9.214,8.919
0.01520,3.00e+09,0.1523579359,0.152,-2.705,3.4516,5.084,0,0.000,0.545,0.00,0.00,-1,1.83e-16,0.00,7.081e-01,2.766e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.531,18.661,16.531,14.665,13.145,11.242,9.544,9.012,8.721
0.01520,3.00e+09,0.1599999964,0.160,-2.653,3.4566,5.074,0,0.000,0.545,0.00,0.00,-1,2.03e-16,0.00,7.080e-01,2.767e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.402,18.328,16.265,14.423,12.941,11.082,9.428,8.896,8.606
0.01520,3.00e+09,0.2000000030,0.200,-2.437,3.4753,5.029,1,0.000,0.545,0.00,0.00,-1,3.15e-16,0.00,7.077e-01,2.770e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.863,17.059,15.243,13.494,12.147,10.454,8.941,8.406,8.122
0.01520,3.00e+09,0.2500000000,0.250,-2.233,3.4918,4.988,1,0.000,0.545,0.00,0.00,-1,4.72e-16,0.00,7.073e-01,2.774e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.352,16.008,14.359,12.684,11.435,9.879,8.473,7.935,7.661
0.01520,3.00e+09,0.3243963718,0.324,-1.995,3.5070,4.924,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.084e-01,2.763e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.756,15.001,13.459,11.843,10.669,9.230,7.913,7.370,7.107
