Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,1.00e+10,0.0900000036,0.090,-3.423,3.3625,5.217,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.080e-01,2.767e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,13.327,25.070,21.113,18.666,16.376,13.890,11.225,10.622,10.285
0.01520,1.00e+10,0.1000000015,0.100,-3.240,3.3884,5.184,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.076e-01,2.771e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.871,23.084,19.785,17.576,15.515,13.135,10.757,10.204,9.890
0.01520,1.00e+10,0.1077039689,0.108,-3.133,3.4026,5.165,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.072e-01,2.775e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.601,22.030,19.066,16.944,15.016,12.720,10.502,9.965,9.653
0.01520,1.00e+10,0.1200000122,0.120,-2.975,3.4232,5.137,1,0.000,0.545,0.00,0.00,-1,1.04e-16,0.00,7.067e-01,2.780e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.209,20.510,18.010,16.023,14.283,12.141,10.146,9.621,9.314
0.01520,1.00e+10,0.1400000006,0.140,-2.792,3.4435,5.102,1,0.000,0.545,0.00,0.00,-1,1.53e-16,0.00,7.060e-01,2.788e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.749,19.215,16.976,15.071,13.487,11.512,9.739,9.210,8.915
0.01520,1.00e+10,0.1496137679,0.150,-2.721,3.4502,5.087,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.056e-01,2.791e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.573,18.761,16.612,14.739,13.208,11.293,9.582,9.051,8.759
0.01520,1.00e+10,0.1599999964,0.160,-2.650,3.4571,5.073,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.053e-01,2.794e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.395,18.303,16.245,14.405,12.927,11.073,9.423,8.890,8.600
0.01520,1.00e+10,0.2000000030,0.200,-2.430,3.4758,5.025,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.042e-01,2.806e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.846,17.020,15.213,13.468,12.124,10.436,8.926,8.391,8.107
0.01520,1.00e+10,0.2500000000,0.250,-2.217,3.4921,4.974,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.033e-01,2.814e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.314,15.959,14.313,12.640,11.392,9.839,8.435,7.897,7.623
0.01520,1.00e+10,0.3000000119,0.300,-2.052,3.5027,4.930,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.030e-01,2.817e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.900,15.254,13.685,12.052,10.859,9.388,8.047,7.506,7.240
0.01520,1.00e+10,0.3493747413,0.350,-1.906,3.5113,4.885,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.088e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.536,14.673,13.157,11.557,10.403,8.996,7.702,7.158,6.898
0.01520,1.00e+10,0.3500000238,0.350,-1.905,3.5114,4.885,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.089e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.532,14.666,13.151,11.551,10.397,8.991,7.698,7.154,6.894
0.01520,1.00e+10,0.3668254316,0.367,-1.854,3.5153,4.870,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.089e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.405,14.445,12.953,11.367,10.230,8.852,7.580,7.033,6.777
