Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,5.00e+08,0.0900000036,0.090,-3.268,3.3748,5.111,0,0.000,0.545,0.00,0.00,-1,6.35e-17,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.939,23.743,20.246,17.957,15.797,13.358,10.824,10.255,9.924
0.01520,5.00e+08,0.0931536555,0.093,-3.233,3.3807,5.115,0,0.000,0.545,0.00,0.00,-1,6.73e-17,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.852,23.331,19.968,17.725,15.616,13.204,10.736,10.177,9.851
0.01520,5.00e+08,0.0950760320,0.095,-3.210,3.3843,5.116,0,0.000,0.545,0.00,0.00,-1,7e-17,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.795,23.070,19.794,17.578,15.501,13.106,10.680,10.126,9.803
0.01520,5.00e+08,0.1000000015,0.100,-3.150,3.3938,5.116,0,0.000,0.545,0.00,0.00,-1,7.85e-17,0.00,7.092e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.646,22.413,19.347,17.192,15.200,12.856,10.537,9.995,9.676
0.01520,5.00e+08,0.1078870669,0.108,-3.067,3.4061,5.114,0,0.000,0.545,0.00,0.00,-1,9.19e-17,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.436,21.556,18.754,16.671,14.789,12.523,10.342,9.811,9.496
0.01520,5.00e+08,0.1200000122,0.120,-2.931,3.4247,5.098,0,0.000,0.545,0.00,0.00,-1,1.21e-16,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.096,20.245,17.828,15.862,14.144,12.019,10.038,9.515,9.206
0.01520,5.00e+08,0.1400000006,0.140,-2.766,3.4434,5.075,0,0.000,0.545,0.00,0.00,-1,1.69e-16,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.684,19.105,16.897,15.001,13.422,11.449,9.674,9.146,8.849
0.01520,5.00e+08,0.1503385454,0.150,-2.700,3.4503,5.068,0,0.000,0.545,0.00,0.00,-1,1.91e-16,0.00,7.091e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.519,18.673,16.546,14.679,13.152,11.239,9.528,8.998,8.704
0.01520,5.00e+08,0.1599999964,0.160,-2.637,3.4565,5.057,0,0.000,0.545,0.00,0.00,-1,2.16e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.364,18.269,16.221,14.383,12.903,11.045,9.390,8.858,8.567
0.01520,5.00e+08,0.1938758045,0.194,-2.466,3.4725,5.034,0,0.000,0.545,0.00,0.00,-1,2.98e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.935,17.228,15.382,13.620,12.255,10.539,9.006,8.472,8.186
0.01520,5.00e+08,0.2000000030,0.200,-2.436,3.4751,5.028,0,0.000,0.545,0.00,0.00,-1,3.16e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.861,17.062,15.246,13.496,12.148,10.453,8.938,8.404,8.119
0.01520,5.00e+08,0.2500000000,0.250,-2.236,3.4916,4.990,0,0.000,0.545,0.00,0.00,-1,4.69e-16,0.00,7.090e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.359,16.020,14.370,12.695,11.444,9.887,8.479,7.942,7.667
0.01520,5.00e+08,0.3000000119,0.300,-2.081,3.5025,4.959,0,0.000,0.545,0.00,0.00,-1,6.34e-16,0.00,7.089e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.974,15.331,13.761,12.128,10.934,9.462,8.120,7.579,7.312
0.01520,5.00e+08,0.3500000238,0.350,-1.935,3.5132,4.921,0,0.000,0.545,0.00,0.00,-1,8.59e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.606,14.696,13.192,11.598,10.453,9.060,7.777,7.231,6.973
0.01520,5.00e+08,0.4000000358,0.400,-1.784,3.5244,4.874,0,0.000,0.545,0.00,0.00,-1,1.2e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.231,14.074,12.622,11.068,9.967,8.652,7.425,6.873,6.623
0.01520,5.00e+08,0.4500000477,0.450,-1.632,3.5361,4.820,0,0.000,0.545,0.00,0.00,-1,1.7e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.851,13.450,12.051,10.532,9.473,8.245,7.076,6.514,6.271
0.01520,5.00e+08,0.5000000000,0.500,-1.477,3.5506,4.768,0,0.000,0.545,0.00,0.00,-1,2.45e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.462,12.808,11.451,9.969,8.956,7.828,6.723,6.148,5.915
0.01520,5.00e+08,0.5500000119,0.550,-1.316,3.5700,4.726,0,0.000,0.545,0.00,0.00,-1,3.55e-15,0.00,7.103e-01,2.745e-01,2.736e-03,7.381e-04,6.694e-03,-1.000,1.521e-02,8.060,12.150,10.809,9.369,8.407,7.397,6.371,5.776,5.561
0.01520,5.00e+08,0.6000000238,0.600,-1.155,3.5930,4.695,0,0.000,0.545,0.00,0.00,-1,5.1e-15,0.00,7.105e-01,2.744e-01,2.734e-03,7.377e-04,6.691e-03,-1.000,1.518e-02,7.658,11.176,10.056,8.754,7.855,6.984,6.006,5.363,5.211
0.01520,5.00e+08,0.6499999762,0.650,-0.997,3.6187,4.675,0,0.000,0.545,0.00,0.00,-1,7.22e-15,0.00,7.106e-01,2.742e-01,2.733e-03,7.373e-04,6.687e-03,-1.000,1.523e-02,7.262,10.349,9.299,8.077,7.273,6.595,5.708,5.013,4.902
0.01520,5.00e+08,0.7000000477,0.700,-0.844,3.6458,4.662,0,0.000,0.545,0.00,0.00,-1,1.01e-14,0.00,7.108e-01,2.740e-01,2.731e-03,7.369e-04,6.684e-03,-1.000,1.523e-02,6.880,9.552,8.606,7.480,6.767,6.203,5.402,4.738,4.649
