Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.0152,1.00E+09,0.090000004,0.09,-3.384,3.3657,5.191,0,0,0.545,0,0,-1,4.43E-17,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,13.23,24.735,20.892,18.485,16.228,13.754,11.124,10.53,10.195
0.0152,1.00E+09,0.100000002,0.1,-3.222,3.3893,5.17,0,0,0.545,0,0,-1,6.25E-17,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,12.826,22.958,19.702,17.504,15.455,13.081,10.713,10.162,9.847
0.0152,1.00E+09,0.120000012,0.12,-2.975,3.4228,5.135,0,0,0.545,0,0,-1,1.05E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,12.208,20.525,18.02,16.031,14.289,12.144,10.144,9.619,9.312
0.0152,1.00E+09,0.122962318,0.123,-2.948,3.4259,5.131,0,0,0.545,0,0,-1,1.10E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,12.14,20.3,17.857,15.886,14.171,12.051,10.084,9.559,9.253
0.0152,1.00E+09,0.140000001,0.14,-2.794,3.443,5.102,0,0,0.545,0,0,-1,1.52E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,11.755,19.237,16.994,15.089,13.501,11.522,9.743,9.214,8.919
0.0152,1.00E+09,0.149383724,0.149,-2.726,3.4495,5.088,0,0,0.545,0,0,-1,1.75E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,11.585,18.801,16.643,14.767,13.23,11.309,9.591,9.06,8.768
0.0152,1.00E+09,0.159999996,0.16,-2.653,3.4565,5.073,0,0,0.545,0,0,-1,2.03E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,11.403,18.334,16.27,14.427,12.944,11.084,9.429,8.897,8.607
0.0152,1.00E+09,0.200000003,0.2,-2.438,3.4752,5.03,0,0,0.545,0,0,-1,3.14E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,10.865,17.067,15.25,13.5,12.152,10.458,8.943,8.408,8.124
0.0152,1.00E+09,0.25,0.25,-2.236,3.4916,4.991,0,0,0.545,0,0,-1,4.67E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,10.36,16.02,14.37,12.695,11.444,9.887,8.48,7.943,7.668
0.0152,1.00E+09,0.313580513,0.314,-2.035,3.5051,4.941,0,0,0.545,0,0,-1,0,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.856,15.15,13.596,11.972,10.789,9.336,8.008,7.467,7.202
0.0152,1.00E+09,0.319421202,0.319,-2.016,3.5062,4.935,0,0,0.545,0,0,-1,7.31E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.81,15.075,13.528,11.909,10.731,9.287,7.965,7.422,7.159
0.0152,1.00E+09,0.346612215,0.347,-1.938,3.5118,4.916,0,0,0.545,0,0,-1,8.59E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.616,14.739,13.227,11.629,10.477,9.074,7.783,7.239,6.979
0.0152,1.00E+09,0.350000024,0.35,-1.929,3.5125,4.914,0,0,0.545,0,0,-1,8.75E-16,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.593,14.699,13.191,11.595,10.447,9.049,7.762,7.217,6.958
0.0152,1.00E+09,0.400000036,0.4,-1.781,3.5233,4.866,0,0,0.545,0,0,-1,1.22E-15,0,7.09E-01,2.76E-01,2.75E-03,7.41E-04,6.72E-03,-1,1.53E-02,9.221,14.088,12.632,11.074,9.969,8.646,7.414,6.862,6.612
