Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,2.50e+08,0.0900000036,0.090,-3.063,3.3874,4.957,0,0.000,0.545,0.00,0.00,-1,1.22e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.428,22.160,19.224,17.091,15.082,12.712,10.312,9.775,9.438
0.01520,2.50e+08,0.0971066207,0.097,-2.996,3.3983,4.967,0,0.000,0.545,0.00,0.00,-1,1.35e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.260,21.443,18.722,16.645,14.734,12.429,10.155,9.629,9.296
0.01520,2.50e+08,0.1000000015,0.100,-2.969,3.4029,4.971,0,0.000,0.545,0.00,0.00,-1,1.41e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.193,21.147,18.514,16.461,14.591,12.314,10.093,9.571,9.240
0.01520,2.50e+08,0.1078800857,0.108,-2.904,3.4129,4.978,0,0.000,0.545,0.00,0.00,-1,1.57e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.030,20.487,18.041,16.049,14.263,12.058,9.947,9.429,9.105
0.01520,2.50e+08,0.1190061271,0.119,-2.813,3.4274,4.988,0,0.000,0.545,0.00,0.00,-1,1.81e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.803,19.602,17.385,15.470,13.800,11.709,9.753,9.238,8.920
0.01520,2.50e+08,0.1200000122,0.120,-2.806,3.4287,4.990,0,0.000,0.545,0.00,0.00,-1,1.84e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.784,19.527,17.329,15.420,13.761,11.679,9.736,9.222,8.905
0.01520,2.50e+08,0.1250467747,0.125,-2.774,3.4327,4.991,0,0.000,0.545,0.00,0.00,-1,1.93e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.705,19.310,17.143,15.247,13.615,11.565,9.667,9.150,8.837
0.01520,2.50e+08,0.1400000006,0.140,-2.681,3.4443,4.994,0,0.000,0.545,0.00,0.00,-1,2.26e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.472,18.723,16.614,14.744,13.188,11.232,9.465,8.941,8.639
0.01520,2.50e+08,0.1558425128,0.156,-2.597,3.4540,4.995,0,0.000,0.545,0.00,0.00,-1,2.58e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.262,18.164,16.152,14.321,12.834,10.961,9.282,8.754,8.457
0.01520,2.50e+08,0.1599999964,0.160,-2.574,3.4564,4.994,0,0.000,0.545,0.00,0.00,-1,2.68e-16,0.00,7.092e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.205,18.020,16.032,14.211,12.741,10.889,9.232,8.703,8.408
0.01520,2.50e+08,0.1737190038,0.174,-2.507,3.4630,4.989,0,0.000,0.545,0.00,0.00,-1,3.02e-16,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.038,17.620,15.702,13.908,12.484,10.689,9.084,8.553,8.261
0.01520,2.50e+08,0.2000000030,0.200,-2.387,3.4744,4.976,0,0.000,0.545,0.00,0.00,-1,3.78e-16,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.737,16.925,15.126,13.381,12.032,10.334,8.814,8.281,7.994
0.01520,2.50e+08,0.2500000000,0.250,-2.205,3.4909,4.957,0,0.000,0.545,0.00,0.00,-1,5.26e-16,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.283,15.963,14.308,12.630,11.376,9.813,8.401,7.864,7.588
0.01520,2.50e+08,0.3000000119,0.300,-2.050,3.5022,4.926,0,0.000,0.545,0.00,0.00,-1,7.1e-16,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.895,15.262,13.689,12.055,10.859,9.385,8.041,7.500,7.233
0.01520,2.50e+08,0.3500000238,0.350,-1.909,3.5134,4.897,0,0.000,0.545,0.00,0.00,-1,9.41e-16,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.543,14.626,13.124,11.531,10.387,8.996,7.714,7.169,6.911
0.01520,2.50e+08,0.4000000358,0.400,-1.760,3.5252,4.854,0,0.000,0.545,0.00,0.00,-1,1.3e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.171,13.996,12.548,10.997,9.899,8.591,7.368,6.815,6.566
0.01520,2.50e+08,0.4500000477,0.450,-1.611,3.5392,4.811,0,0.000,0.545,0.00,0.00,-1,1.82e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.797,13.334,11.948,10.438,9.390,8.185,7.030,6.466,6.225
0.01520,2.50e+08,0.5000000000,0.500,-1.464,3.5541,4.770,0,0.000,0.545,0.00,0.00,-1,2.54e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.431,12.721,11.371,9.898,8.895,7.789,6.700,6.122,5.891
0.01520,2.50e+08,0.5500000119,0.550,-1.313,3.5717,4.730,0,0.000,0.545,0.00,0.00,-1,3.57e-15,0.00,7.096e-01,2.751e-01,2.741e-03,7.396e-04,6.708e-03,-1.000,1.522e-02,8.051,12.111,10.786,9.356,8.394,7.386,6.360,5.766,5.554
0.01520,2.50e+08,0.5578879714,0.558,-1.291,3.5746,4.725,0,0.000,0.545,0.00,0.00,-1,3.75e-15,0.00,7.097e-01,2.751e-01,2.741e-03,7.396e-04,6.707e-03,-1.000,1.522e-02,7.996,12.007,10.709,9.295,8.335,7.329,6.302,5.710,5.502
0.01520,2.50e+08,0.5965172052,0.596,-1.167,3.5923,4.702,0,0.000,0.545,0.00,0.00,-1,4.95e-15,0.00,7.097e-01,2.751e-01,2.741e-03,7.394e-04,6.706e-03,-1.000,1.521e-02,7.688,11.232,10.104,8.798,7.894,7.013,6.031,5.393,5.238
0.01520,2.50e+08,0.6000000238,0.600,-1.156,3.5938,4.700,0,0.000,0.545,0.00,0.00,-1,5.07e-15,0.00,7.097e-01,2.751e-01,2.741e-03,7.394e-04,6.706e-03,-1.000,1.521e-02,7.661,11.148,10.035,8.739,7.845,6.987,6.013,5.366,5.217
0.01520,2.50e+08,0.6499999762,0.650,-0.999,3.6200,4.682,0,0.000,0.545,0.00,0.00,-1,7.14e-15,0.00,7.098e-01,2.749e-01,2.740e-03,7.393e-04,6.705e-03,-1.000,1.526e-02,7.267,10.338,9.290,8.071,7.271,6.600,5.717,5.022,4.912
0.01520,2.50e+08,0.7000000477,0.700,-0.846,3.6468,4.669,0,0.000,0.545,0.00,0.00,-1,9.94e-15,0.00,7.099e-01,2.748e-01,2.739e-03,7.390e-04,6.703e-03,-1.000,1.523e-02,6.886,9.541,8.600,7.479,6.769,6.208,5.411,4.749,4.662
0.01520,2.50e+08,0.7000976801,0.700,-0.846,3.6469,4.669,0,0.000,0.545,0.00,0.00,-1,9.94e-15,0.00,7.099e-01,2.748e-01,2.739e-03,7.390e-04,6.703e-03,-1.000,1.523e-02,6.885,9.539,8.598,7.477,6.768,6.207,5.411,4.749,4.661
0.01520,2.50e+08,0.7339028120,0.734,-0.747,3.6650,4.662,0,0.000,0.540,0.00,0.00,-1,1.23e-14,0.00,7.102e-01,2.746e-01,2.712e-03,7.377e-04,6.698e-03,-1.000,1.526e-02,6.637,8.976,8.148,7.099,6.453,5.945,5.212,4.600,4.525
0.01520,2.50e+08,0.7500000000,0.750,-0.702,3.6741,4.663,0,0.000,0.538,0.00,0.00,-1,1.35e-14,0.00,7.100e-01,2.747e-01,2.702e-03,7.379e-04,6.702e-03,-1.000,1.525e-02,6.524,8.704,7.941,6.927,6.313,5.826,5.126,4.543,4.472
0.01520,2.50e+08,0.8000000119,0.800,-0.573,3.6940,4.642,0,0.000,0.538,0.00,0.00,-1,1.8e-14,0.00,7.101e-01,2.746e-01,2.701e-03,7.376e-04,6.700e-03,-1.000,1.525e-02,6.202,8.035,7.426,6.488,5.940,5.496,4.866,4.346,4.286
0.01520,2.50e+08,0.8500000238,0.850,-0.450,3.7127,4.621,0,0.000,0.538,0.00,0.00,-1,2.37e-14,0.00,7.103e-01,2.745e-01,2.700e-03,7.373e-04,6.697e-03,-1.000,1.518e-02,5.896,7.426,6.964,6.098,5.604,5.194,4.627,4.162,4.110
0.01520,2.50e+08,0.9000000358,0.900,-0.335,3.7298,4.598,0,0.000,0.538,0.00,0.00,-1,3.08e-14,0.00,7.104e-01,2.744e-01,2.699e-03,7.369e-04,6.694e-03,-1.000,1.523e-02,5.608,6.877,6.547,5.749,5.297,4.917,4.403,3.985,3.940
0.01520,2.50e+08,0.9500000477,0.950,-0.225,3.7449,4.572,0,0.000,0.538,0.00,0.00,-1,3.97e-14,0.00,7.107e-01,2.741e-01,2.697e-03,7.364e-04,6.689e-03,-1.000,1.521e-02,5.332,6.389,6.167,5.433,5.015,4.660,4.191,3.811,3.771
0.01520,2.50e+08,1.0000000000,1.000,-0.116,3.7589,4.542,1,0.000,0.538,0.00,0.00,-1,5.15e-14,0.00,7.110e-01,2.738e-01,2.695e-03,7.357e-04,6.683e-03,-1.000,1.520e-02,5.061,5.939,5.806,5.132,4.743,4.410,3.981,3.633,3.598
0.01520,2.50e+08,1.0499999523,1.050,-0.013,3.7716,4.510,1,0.000,0.538,0.00,0.00,-1,6.14e-14,0.00,7.114e-01,2.734e-01,2.691e-03,7.348e-04,6.674e-03,-1.000,1.515e-02,4.802,5.537,5.472,4.852,4.489,4.175,3.780,3.460,3.430
0.01520,2.50e+08,1.1000000238,1.100,0.086,3.7831,4.478,1,0.000,0.537,0.00,0.00,-1,7.21e-14,0.00,7.121e-01,2.727e-01,2.685e-03,7.332e-04,6.660e-03,-1.000,1.517e-02,4.555,5.175,5.161,4.589,4.248,3.952,3.587,3.292,3.265
0.01520,2.50e+08,1.1266574860,1.126,0.137,3.7887,4.460,0,0.000,0.537,0.00,0.00,-1,7.8e-14,0.00,7.126e-01,2.723e-01,2.681e-03,7.321e-04,6.651e-03,-1.000,1.510e-02,4.429,5.000,5.005,4.456,4.126,3.839,3.488,3.205,3.180
0.01520,2.50e+08,1.1499999762,1.150,0.180,3.7936,4.445,0,0.000,0.537,0.00,0.00,-1,8.34e-14,0.00,7.132e-01,2.718e-01,2.677e-03,7.310e-04,6.641e-03,-1.000,1.506e-02,4.320,4.851,4.872,4.342,4.021,3.742,3.403,3.130,3.106
0.01520,2.50e+08,1.2000000477,1.200,0.271,3.8035,4.412,0,0.000,0.537,0.00,0.00,-1,9.48e-14,0.00,7.133e-01,2.716e-01,2.678e-03,7.313e-04,6.643e-03,-1.000,1.509e-02,4.093,4.556,4.597,4.106,3.804,3.540,3.225,2.972,2.951
0.01520,2.50e+08,1.2500000000,1.250,0.357,3.8130,4.382,1,0.000,0.537,0.00,0.00,-1,1.06e-13,0.00,7.134e-01,2.716e-01,2.677e-03,7.313e-04,6.643e-03,-1.000,1.508e-02,3.877,4.284,4.338,3.882,3.598,3.349,3.058,2.824,2.805
0.01520,2.50e+08,1.2999999523,1.300,0.439,3.8222,4.354,1,0.000,0.537,0.00,0.00,-1,1.15e-13,0.00,7.135e-01,2.714e-01,2.677e-03,7.311e-04,6.641e-03,-1.000,1.509e-02,3.673,4.032,4.093,3.670,3.404,3.170,2.900,2.685,2.668
0.01520,2.50e+08,1.3500001431,1.350,0.516,3.8315,4.330,1,0.000,0.537,0.00,0.00,-1,1.21e-13,0.00,7.134e-01,2.715e-01,2.677e-03,7.312e-04,6.643e-03,-1.000,1.507e-02,3.480,3.802,3.863,3.471,3.223,3.005,2.756,2.560,2.544
