15.53,SourceIntensityB,,SourceIntensityV,,Bmag,Vmag
,262.294,,1087.22,,20.65563175,19.74043243
,398.142,,1444.35,,20.20250766,19.43204489
,3076.95,,14144.3,,17.98230154,16.95477236
,2219.16,,10751.7,,18.3371311,17.25253316
,1512.11,,6343.28,,18.75364418,17.8254413
,1921.56,,7076.22,,18.49346777,17.70672269
,1806.24,,6386.6,,18.560664,17.81805172
,996.148,,3440.48,,19.20679297,18.48967841
,2831.29,,12197.5,,18.07264175,17.11554894
,7198.37,,31890.8,,17.05951723,16.07206247
,18558.9,,10438,,16.03122206,17.28468278
,18558.9,,10438,,16.03122206,17.28468278
,16333.1,,82379.6,,16.16993109,15.04167681
,16327.9,,82379.6,,16.17027681,15.04167681
,1760.99,,7117.97,,18.58821042,17.70033562
,4530.34,,19939.4,,17.56227565,16.58194579
,4530.22,,3454.9,,17.56230441,18.4851373
,756.946,,2740.74,,19.5049404,18.73655641
,657.464,,2533.13,,19.6579227,18.82208231
,657.464,,2533.13,,19.6579227,18.82208231
,148.882,,607.494,,21.27049716,20.37237103
,9277.82,,44248.3,,16.78398778,15.71648453
,3898.3,,15690.5,,17.7254145,16.84213405
,3893.94,,15697.2,,17.7266295,16.84167053
,16327.3,,82672.5,,16.17031671,15.03782333
,824.831,,3159.08,,19.4116902,18.58232445
,1198.3,,4590.29,,19.00618874,18.1766257
,1198.3,,4573.21,,19.00618874,18.18067315
,651.259,,2506,,19.6682183,18.83377334
,657.28,,2506.62,,19.6582266,18.83350476
,694.982,,2715.53,,19.59766875,18.7465895
,845.106,,2900.09,,19.38532468,18.67519732
,1311.91,,5258.27,,18.90784253,18.0291188
,649.997,,2390.44,,19.67032426,18.88503139
,624.189,,2171.94,,19.71431236,18.98910645
,375.429,,1439.18,,20.2662831,19.43593822
,375.429,,1439.7,,20.2662831,19.435546
,26811.4,,147971,,15.63180391,14.40578449
,2553.87,,11152,,18.18460567,17.21284411
,694.543,,2715.53,,19.59835479,18.7465895
,1207.26,,4310.7,,18.99810061,18.24485651
,4544.35,,16150.1,,17.55892321,16.81078797
,4525.49,,16095.2,,17.56343862,16.81448506
,842.187,,2852.68,,19.38908131,18.69309336
,839.512,,2838.93,,19.39253537,18.6983393
,856.262,,2965.52,,19.37108596,18.65097386
,1335.25,,4846.72,,18.88869617,18.11760618
,594.808,,2155.39,,19.76666064,18.99741135
,26.2876,,453.72,,23.1532253,20.6892562
,20896.9,,16402.4,,15.90239798,16.79395751
,20895.3,,16425.7,,15.90248111,16.79241629
,440.905,,1840.51,,20.09174008,19.16888055
,1123.99,,4280.64,,19.07569652,18.25245424
,1207.26,,4310.7,,18.99810061,18.24485651
,1675.46,,6872.05,,18.64226748,17.73851023
,681.704,,2881.21,,19.61861304,18.68228872
,681.877,,2881.21,,19.61833754,18.68228872
,25547.1,,54605.2,,15.68424862,15.488141
,6814.72,,31487,,17.1189826,16.0858978
,633.89,,2260.92,,19.69756789,18.94551302
,456.948,,1649.44,,20.05293569,19.2878847
,2549.18,,11155.9,,18.18660138,17.21246448
,564.768,,2282.83,,19.82292744,18.93504208
,17795.8,,36454,,16.07680885,15.92686303
,17759.5,,36327.8,,16.0790258,15.93062826
,31.6587,,285.223,,22.95136995,21.19326465
,456.729,,1822.82,,20.05345617,19.17936655
,211.704,,955.872,,20.88827998,19.88022666
,80.9916,,465.126,,21.93150269,20.66229947
,5157.22,,21449.3,,17.4215635,16.5026932
,5160.64,,21449.3,,17.42084373,16.5026932
,2992.33,,10779.7,,18.01257892,17.24970932
,2992.33,,10779.7,,18.01257892,17.24970932
,3578.41,,14964,,17.81837739,16.89360676
,3546.39,,14964,,17.82813641,16.89360676
,25328.8,,54484.4,,15.6935661,15.49054558
,13497.9,,67696.2,,16.37693713,15.25481528
,20896.9,,111590,,15.90239798,14.71216281
,200.336,,751.405,,20.94820515,20.14154081
,5890.45,,26441.9,,17.27723146,16.27549436
,87.0307,,400.821,,21.85342145,20.82384984
,770.93,,2779.64,,19.48506528,18.72125463
,3554.35,,14499.9,,17.82570216,16.92781349
,39854.3,,106071,,15.20141468,14.76723435
,906.876,,3426.77,,19.30873287,18.49401362
,2662.98,,11925.7,,18.13918288,17.14001631
,5887.98,,26430.8,,17.27768683,16.27595024
,786.494,,2814.79,,19.46336411,18.70761101
,7566.6,,34588,,17.0053507,15.98391238
,25328.8,,54483.5,,15.6935661,15.49056351
,6329.68,,29082.5,,17.19914825,16.17214667
,305.258,,1112.78,,20.490935,19.71520273
,193.58,,921.795,,20.98545143,19.91964014
,1921.34,,9697.09,,18.49359208,17.36462244
,1921.86,,9714.51,,18.49329827,17.36267376
,25356.5,,54482.6,,15.69237937,15.49058145
,4213.2,,19391.1,,17.64107245,16.61221989
,1301.7,,5069.66,,18.91632538,18.06877892
,315.953,,1418.89,,20.45354643,19.45135419
,160.854,,802.372,,21.18652298,20.0702866
,160.916,,802.372,,21.18610457,20.0702866
,38082.6,,183489,,15.25078616,14.17220092
,38082.6,,183496,,15.25078616,14.1721595
,1150.44,,3862.76,,19.05044271,18.36398169
,533.359,,1941.04,,19.88505357,19.1111398
,426.047,,1509.18,,20.12895886,19.38437341
,11165.9,,52609.6,,16.58286831,15.52856351
,20895.3,,111593,,15.90248111,14.71213363
,581.89,,2165.01,,19.79050041,18.99257624
,7684,,34064.8,,16.98863425,16.0004614
,4213.2,,19391.1,,17.64107245,16.61221989
,791.419,,2998,,19.45658646,18.63914694
,1109.4,,4010.4,,19.08988224,18.32325678
,3713.34,,16169.4,,17.77819085,16.80949125
,3713.55,,16170.6,,17.77812945,16.80941067
,1108.85,,4388.72,,19.09042064,18.22538132
,3688.57,,13979.7,,17.78545757,16.96748138
,3485.33,,13496,,17.84699288,17.00571333
,3487.61,,13504.3,,17.84628286,17.00504581
,3489.9,,13501.5,,17.84557018,17.00527096
,2230.5,,11090.8,,18.33159707,17.21881882
,2663.58,,11926.1,,18.13893828,17.13997989
,3303.8,,15066.4,,17.90506827,16.88620227
,3302.14,,15067.7,,17.90561394,16.8861086
,514.443,,2067.65,,19.92425949,19.04253344
,20427.3,,43244.8,,15.92707522,15.74139128
,771.061,,2778.37,,19.4848808,18.72175081
,476.53,,1712.51,,20.00737702,19.24714322
,626.686,,2268.31,,19.70997766,18.94196999
,1137.57,,3843.94,,19.06265732,18.36928451
,5518.02,,19320.5,,17.34814447,16.6161801
,1968.33,,7083.35,,18.46735786,17.70562925
,9789.11,,47302.9,,16.72574462,15.64400659
